# module src/L/Condensation.lagda.md
# in-fence lines 6554
# GHCRTS -A64m -I0 -M8g
# command agda --profile=definitions src/L/Condensation.lagda.md
# load before 4.26 / 5.33 / 8.88
# load after  5.51 / 5.42 / 8.44
# wall seconds 122.80
# exit 0
Checking L.Condensation (/Users/alsg/Agentic/Bedrock/src/L/Condensation.lagda.md).
Total                                          119,663ms 
L.Condensation.GraphEntry.un                        14ms 
L.Condensation.DefinesAgree.out                     14ms 
L.Condensation.Δ₀-arTagPairB                        13ms 
L.Condensation.KeyAgree._._.te'                     13ms 
L.Condensation.OneSameRel.back                      13ms 
L.Condensation.AtomLeaf.cSat                        13ms 
L.Condensation.Or.Δ₀-orBndAt                        13ms 
L.Condensation.Imp.Δ₀-impBndAt                      13ms 
L.Condensation.TmBranch._.go                        13ms 
L.Condensation.And.Δ₀-andBndAt                      13ms 
L.Condensation.OneSameRel.out                       13ms 
L.Condensation.BinFormAgree.back                    12ms 
L.Condensation.ExIn.Δ₀-exInBndAt                    12ms 
L.Condensation.MemAgree.φB                          12ms 
L.Condensation.extAt→extAtB                         12ms 
L.Condensation.ChainZ.entryK-tied-zK                12ms 
L.Condensation.Neg.Δ₀-negBndAt                      12ms 
L.Condensation.Forall.Δ₀-forallBndAt                12ms 
L.Condensation.ImpLeaf.yaCore                       12ms 
L.Condensation.Δ₀-hasWitnessBS                      12ms 
L.Condensation.EqAgree.φB                           12ms 
L.Condensation.DefinesAgree.bodyB                   12ms 
L.Condensation.ChainZ.ysingl∈prxy                   11ms 
L.Condensation.ChainZ.prʟxy∈z                       11ms 
L.Condensation.bndBodyEx                            11ms 
L.Condensation.UnFormAgree.back                     11ms 
L.Condensation.MemAgree.cmp                         11ms 
L.Condensation.EqAgree.cmp                          11ms 
L.Condensation.EnvSet.memE-at                       11ms 
L.Condensation.DefinesAgree.bodyM                   11ms 
L.Condensation.EnvSet.out                           11ms 
L.Condensation.atomBodyB                            11ms 
L.Condensation.ImpLeaf.ybCore                       11ms 
L.Condensation.UnFrameAgree.back                    10ms 
L.Condensation.BinFrameAgree.back                   10ms 
L.Condensation.BndLeaf.xW                           10ms 
L.Condensation.bndBodyAll                           10ms 
L.Condensation.TopBinRel.back                       10ms 
L.Condensation.TmBranch._._.vx-raw                  10ms 
L.Condensation.Δ₀-arTagBS                           10ms 
L.Condensation.BinaryShape.pairK                    10ms 
L.Condensation._.d1                                 10ms 
